Iteration	Posterior	Likelihood	Prior	birth	ef[1]	ef[2]	ef[3]	em[1]	em[2]	em[3]	extinction_eic	extinction_key	extinction_nig	extinction_per	extinction_rates[1]	extinction_rates[2]	extinction_rates[3]	extinction_rates[4]	extinction_rates[5]	extinction_rates[6]	extinction_rates[7]	extinction_rates[8]	extinction_rates[9]	female_relative[1]	female_relative[2]	female_relative[3]	global_female_extirp	global_male_extirp	is_extinction_eic_nig_different	is_extinction_key_per_different	male_relative[1]	male_relative[2]	male_relative[3]	root_state_freq[1]	root_state_freq[2]	root_state_freq[3]	root_state_freq[4]	root_state_freq[5]	root_state_freq[6]	root_state_freq[7]	root_state_freq[8]	root_state_freq[9]	sampling_fraction	stateBirths[1]	stateBirths[2]	stateBirths[3]	stateBirths[4]	stateBirths[5]	stateBirths[6]	stateBirths[7]	stateBirths[8]	stateBirths[9]
10000	-129.7877	-125.3126	-4.475063	11.98477	0.0563786	0.00909958	0.0662449	0.00165321	0.124531	0.0783245	0.1912425	0.01317518	0.1912425	0.01317518	0.0131752	1.71016	1.17578	1.14538	0.191242	0.191242	0.87389	0.336773	0.0131752	0.428009	0.0690811	0.50291	0.1317231	0.2045092	0	0	0.00808378	0.608928	0.382988	0.00306884	0.0296341	0.00397645	0.0406977	0.0696849	0.179944	0.171125	0.24371	0.258159	0.5899192	1.33164	1.33164	1.33164	1.33164	1.33164	1.33164	1.33164	1.33164	1.33164
11000	-131.508	-124.539	-6.969009	12.36966	0.0665514	0.0577315	0.185956	0.0522698	0.0546016	0.152318	0.3286684	0.2863101	0.3286684	0.2863101	0.28631	1.36322	1.77401	0.690045	0.328668	0.328668	0.655354	0.125885	0.28631	0.214516	0.186087	0.599396	0.3102389	0.2591897	0	0	0.201666	0.210663	0.587671	0.178384	0.0251387	0.225642	0.0581308	0.0249368	0.28558	0.00196791	0.0932349	0.106985	0.6464712	1.37441	1.37441	1.37441	1.37441	1.37441	1.37441	1.37441	1.37441	1.37441
12000	-139.5529	-127.2488	-12.30413	15.8899	0.0480798	0.0534695	0.0233556	0.124859	0.0325096	0.164395	1.014947	1.657072	0.4284868	0.05334716	0.0533472	0.828659	1.40889	0.347195	1.01495	0.428487	1.99634	0.531043	1.65707	0.384931	0.428081	0.186987	0.1249049	0.3217642	1	1	0.388046	0.101036	0.510918	0.205859	0.00951296	0.00664445	0.11874	0.133022	0.303777	0.000613285	0.0654543	0.156378	0.5354342	1.76554	1.76554	1.76554	1.76554	1.76554	1.76554	1.76554	1.76554	1.76554
13000	-127.4571	-124.5496	-2.907552	12.49106	0.0530221	0.0427615	0.0682253	0.0765803	0.0353661	0.15203	0.4899242	0.02702382	0.307212	0.02702382	0.0270238	0.547628	0.501266	0.227427	0.489924	0.307212	0.331069	0.0235318	0.0270238	0.323288	0.260727	0.415985	0.164009	0.2639761	1	0	0.290103	0.133975	0.575922	0.313365	0.0296918	0.00825676	0.0870533	0.278091	0.147302	0.000516967	0.0614132	0.0743112	0.6503477	1.3879	1.3879	1.3879	1.3879	1.3879	1.3879	1.3879	1.3879	1.3879
14000	-139.3223	-127.7809	-11.5414	17.6287	0.000833867	0.000376302	0.00370786	0.0754014	0.202483	0.0736159	0.2046015	0.1611628	0.2046015	0.01674139	0.0167414	0.127421	4.03942	0.443041	0.204602	0.204602	1.30984	0.364719	0.161163	0.169553	0.0765147	0.753932	0.00491803	0.3515003	0	1	0.214513	0.576053	0.209434	0.0285344	0.0116616	0.18772	0.125937	0.289838	0.163803	0.12535	0.00181639	0.0653403	0.5266472	1.95874	1.95874	1.95874	1.95874	1.95874	1.95874	1.95874	1.95874	1.95874
15000	-133.5883	-125.719	-7.869286	13.32894	0.0369768	0.0593759	0.0787385	0.126085	0.038211	0.169425	0.7225047	0.1186134	0.06165922	0.2058798	0.20588	0.576779	2.72754	0.406344	0.722505	0.0616592	0.00103354	0.950311	0.118613	0.211186	0.339114	0.4497	0.1750912	0.3337208	1	1	0.377816	0.1145	0.507684	0.0890868	0.0126396	0.0823522	0.0545595	0.124159	0.122666	0.0381056	0.404192	0.0722391	0.5159979	1.48099	1.48099	1.48099	1.48099	1.48099	1.48099	1.48099	1.48099	1.48099
16000	-133.744	-129.7939	-3.950167	11.82047	0.00294129	0.102426	0.0373491	0.00391019	0.00939412	0.165145	0.01493204	0.1675312	0.01493204	1.544177	1.54418	1.10351	1.22026	0.80751	0.014932	0.014932	0.301865	0.0766898	0.167531	0.0206094	0.717688	0.261703	0.1427159	0.1784497	0	1	0.021912	0.052643	0.925445	0.0478089	0.0967786	0.206109	0.0114086	0.254769	0.0222356	0.0697264	0.030695	0.260469	0.5813517	1.31339	1.31339	1.31339	1.31339	1.31339	1.31339	1.31339	1.31339	1.31339
17000	-133.3172	-121.8089	-11.50828	16.40763	0.124858	0.0157548	0.0188369	0.0488699	0.0231183	0.193137	0.07591093	0.1896553	0.07591093	0.1896553	0.189655	0.552259	2.04936	1.36723	0.0759109	0.0759109	2.27405	0.664875	0.189655	0.783055	0.0988073	0.118137	0.1594494	0.2651249	0	0	0.184328	0.0871977	0.728475	0.00599138	0.0518841	0.26262	0.0453763	0.374635	0.0622605	0.0989661	0.00510304	0.0931641	0.5879522	1.82307	1.82307	1.82307	1.82307	1.82307	1.82307	1.82307	1.82307	1.82307
18000	-133.5591	-123.0203	-10.53882	14.08695	0.00389634	0.0380946	0.129434	0.0296143	0.0240574	0.0888951	0.6386733	0.09679407	0.1031689	0.09679407	0.0967941	1.29009	2.39515	1.0956	0.638673	0.103169	0.403582	3.60734	0.0967941	0.0227291	0.222223	0.755048	0.1714251	0.1425668	1	0	0.207723	0.168745	0.623533	0.00128427	0.148551	0.0924521	0.218517	0.146943	0.143833	0.110492	0.0367256	0.101202	0.6168749	1.56522	1.56522	1.56522	1.56522	1.56522	1.56522	1.56522	1.56522	1.56522
19000	-135.1669	-126.3803	-8.786555	14.33137	0.0531208	0.0293376	0.0200296	0.00436098	0.0371132	0.138407	0.3675933	0.5674823	0.3675933	0.5674823	0.567482	0.767022	4.65764	0.372481	0.367593	0.367593	0.43852	0.77919	0.567482	0.518312	0.286254	0.195434	0.102488	0.1798808	0	0	0.0242437	0.206321	0.769435	0.0565501	0.0354216	0.360612	0.134878	0.0764628	0.0864966	0.11536	0.0529823	0.0812367	0.5969967	1.59237	1.59237	1.59237	1.59237	1.59237	1.59237	1.59237	1.59237	1.59237
