Iteration	Posterior	Likelihood	Prior	eta	extinction_eic	extinction_key	extinction_nig	extinction_per	HR[1]	HR[2]	is_all_transition_different	is_focal_death_equal	is_red_male_different	is_there_different_birth_regimes	is_there_different_death_regimes	is_transition_equal	lambda_global	lambda_hidden[1]	lambda_hidden[2]	lambda_hidden_sigma	lambda_hidden_unormalized[1]	lambda_hidden_unormalized[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	lambda_obs[7]	lambda_obs[8]	lambda_obs[9]	lambda_state_dependent[1]	lambda_state_dependent[2]	lambda_state_dependent[3]	lambda_state_dependent[4]	lambda_state_dependent[5]	lambda_state_dependent[6]	lambda_state_dependent[7]	lambda_state_dependent[8]	lambda_state_dependent[9]	lambda_state_dependent[10]	lambda_state_dependent[11]	lambda_state_dependent[12]	lambda_state_dependent[13]	lambda_state_dependent[14]	lambda_state_dependent[15]	lambda_state_dependent[16]	lambda_state_dependent[17]	lambda_state_dependent[18]	mu_global	mu_hidden[1]	mu_hidden[2]	mu_hidden_sigma	mu_hidden_unormalized[1]	mu_hidden_unormalized[2]	mu_m1_weigths[1]	mu_m1_weigths[2]	mu_m1_weigths[3]	mu_m1_weigths[4]	mu_m1_weigths[5]	mu_m1_weigths[6]	mu_obs[1]	mu_obs[2]	mu_obs[3]	mu_obs[4]	mu_obs[5]	mu_obs[6]	mu_obs[7]	mu_obs[8]	mu_obs[9]	mu_obs_prportional[1]	mu_obs_prportional[2]	mu_obs_prportional[3]	mu_obs_prportional[4]	mu_obs_prportional[5]	mu_obs_prportional[6]	mu_obs_prportional[7]	mu_obs_prportional[8]	mu_obs_prportional[9]	mu_prop_model_indicator	mu_proportional_m1[1]	mu_proportional_m1[2]	mu_proportional_m1[3]	mu_proportional_m1[4]	mu_proportional_m1[5]	mu_proportional_m1[6]	mu_proportional_m1[7]	mu_proportional_m1[8]	mu_proportional_m1[9]	mu_proportional_m2[1]	mu_proportional_m2[2]	mu_proportional_m2[3]	mu_proportional_m2[4]	mu_proportional_m2[5]	mu_proportional_m2[6]	mu_proportional_m2[7]	mu_proportional_m2[8]	mu_proportional_m2[9]	mu_state_dependent[1]	mu_state_dependent[2]	mu_state_dependent[3]	mu_state_dependent[4]	mu_state_dependent[5]	mu_state_dependent[6]	mu_state_dependent[7]	mu_state_dependent[8]	mu_state_dependent[9]	mu_state_dependent[10]	mu_state_dependent[11]	mu_state_dependent[12]	mu_state_dependent[13]	mu_state_dependent[14]	mu_state_dependent[15]	mu_state_dependent[16]	mu_state_dependent[17]	mu_state_dependent[18]	r[1][2]	r[1][3]	r[1][4]	r[1][7]	r[2][1]	r[2][3]	r[2][5]	r[2][8]	r[3][1]	r[3][2]	r[3][6]	r[3][9]	r[4][1]	r[4][5]	r[4][6]	r[4][7]	r[5][2]	r[5][4]	r[5][6]	r[5][8]	r[6][3]	r[6][4]	r[6][5]	r[6][9]	r[7][1]	r[7][4]	r[7][8]	r[7][9]	r[8][2]	r[8][5]	r[8][7]	r[8][9]	r[9][3]	r[9][6]	r[9][7]	r[9][8]	root_state_freq[1]	root_state_freq[2]	root_state_freq[3]	root_state_freq[4]	root_state_freq[5]	root_state_freq[6]	root_state_freq[7]	root_state_freq[8]	root_state_freq[9]	root_state_freq[10]	root_state_freq[11]	root_state_freq[12]	root_state_freq[13]	root_state_freq[14]	root_state_freq[15]	root_state_freq[16]	root_state_freq[17]	root_state_freq[18]	sampling_fraction	substitution_of_black_female	substitution_of_black_male	substitution_of_brown_female	substitution_of_brown_male	substitution_of_red_female	substitution_of_red_male	thau_f[1]	thau_f[2]	thau_f[3]	thau_m[1]	thau_m[2]	thau_m[3]	zeta	zeta_model_indicator	zeta_prop_female_m2[1]	zeta_prop_female_m2[2]	zeta_prop_female_m2[3]	zeta_prop_female_m3[1]	zeta_prop_female_m3[2]	zeta_prop_female_m3[3]	zeta_prop_male_m2[1]	zeta_prop_male_m2[2]	zeta_prop_male_m2[3]	zeta_prop_male_m3[1]	zeta_prop_male_m3[2]	zeta_prop_male_m3[3]	zeta_proportional_m2[1]	zeta_proportional_m2[2]	zeta_proportional_m2[3]	zeta_proportional_m2[4]	zeta_proportional_m2[5]	zeta_proportional_m2[6]	zeta_proportional_m3[1]	zeta_proportional_m3[2]
206000	-82.40654	-123.4808	41.07423	0.04703326	0.4188507	0.4188507	0.4188507	0.4188507	0.0470333	0.0470333	0	1	1	0	0	0	42.251	0.5	0.5	0	1	1	4.69456	4.69456	4.69456	4.69456	4.69456	4.69456	4.69456	4.69456	4.69456	2.34728	2.34728	2.34728	2.34728	2.34728	2.34728	2.34728	2.34728	2.34728	2.34728	2.34728	2.34728	2.34728	2.34728	2.34728	2.34728	2.34728	2.34728	11.67505	0.5	0.5	0	1	1	0.199974	0.0924691	0.249395	0.0882898	0.22637	0.143503	0.418851	2.33471	1.07958	2.91169	0.418851	0.418851	1.03079	2.64288	0.418851	0.0358757	0.199974	0.0924691	0.249395	0.0358757	0.0358757	0.0882898	0.22637	0.0358757	1	0.0358757	0.199974	0.0924691	0.249395	0.0358757	0.0358757	0.0882898	0.22637	0.0358757	0.0356734	0.0163451	0.183981	0.0991551	0.0926491	0.230073	0.0921747	0.0848176	0.165131	0.209425	1.16735	0.539791	1.45585	0.209425	0.209425	0.515394	1.32144	0.209425	0.209425	1.16735	0.539791	1.45585	0.209425	0.209425	0.515394	1.32144	0.209425	0.02999529	0.02999529	0.02999529	0.02999529	0.02999529	0.02999529	0.02999529	0.02999529	0.129905	0.129905	0.02999529	0.02999529	0.02999529	0.02999529	0.02999529	0.02999529	0.02999529	0.02999529	0.02999529	0.02999529	0.02999529	0.129905	0.129905	0.02999529	0.02999529	0.02999529	0.02999529	0.02999529	0.02999529	0.02999529	0.02999529	0.02999529	0.02999529	0.02999529	0.129905	0.129905	0.0241299	0.238867	0.107091	0.054492	0.127413	0.000358275	0.0715579	0.0360789	0.0233541	0.00618944	0.0154028	0.0100027	0.0553566	0.0696741	0.0365692	0.0463521	0.0728598	0.00425106	0.4849451	0.02999529	0.02999529	0.02999529	0.02999529	0.02999529	0.129905	0.0299953	0.0299953	0.0299953	0.0299953	0.0299953	0.129905	0.2798815	3	0.165793	0.169893	0.248092	0.107171	0.107171	0.107171	0.0536268	0.273698	0.0888969	0.107171	0.107171	0.464143	0.0536268	0.273698	0.0888969	0.165793	0.169893	0.248092	0.535857	0.464143
207000	-86.93906	-124.9899	38.05083	1.3464	0.01433002	0.01433002	0.01433002	0.01433002	1.3464	1.3464	0	1	1	0	1	0	38.78327	0.5	0.5	0	1	1	4.30925	4.30925	4.30925	4.30925	4.30925	4.30925	4.30925	4.30925	4.30925	2.15463	2.15463	2.15463	2.15463	2.15463	2.15463	2.15463	2.15463	2.15463	2.15463	2.15463	2.15463	2.15463	2.15463	2.15463	2.15463	2.15463	2.15463	9.010276	0.114013	0.885987	1.519955	0.358727	2.78764	0.131408	0.039207	0.105996	0.0138846	0.703143	0.00636163	0.01433	1.18402	0.353266	0.955049	0.01433	0.01433	0.125104	6.33551	0.01433	0.00159041	0.131408	0.039207	0.105996	0.00159041	0.00159041	0.0138846	0.703143	0.00159041	1	0.00159041	0.131408	0.039207	0.105996	0.00159041	0.00159041	0.0138846	0.703143	0.00159041	0.0359128	0.00911477	0.331098	0.0972746	0.103089	0.0103791	0.107304	0.129906	0.175921	0.00163381	0.134994	0.0402769	0.108888	0.00163381	0.00163381	0.0142635	0.722332	0.00163381	0.0126962	1.04903	0.312989	0.846161	0.0126962	0.0126962	0.110841	5.61318	0.0126962	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.238578	0.238578	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.238578	0.238578	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.238578	0.238578	0.0077698	0.0527965	0.00837494	0.0163374	0.0322364	0.0447047	0.278871	0.162946	0.0940994	0.0150629	0.0611505	0.0470821	0.0438291	0.00716968	0.0324853	0.0493843	0.0365135	0.00918723	0.3519144	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.238578	0.0138956	0.0138956	0.0138956	0.0138956	0.0138956	0.238578	0.308056	3	0.100212	0.0710369	0.0253727	0.0451074	0.0451074	0.0451074	0.703171	0.0786545	0.0215525	0.0451074	0.0451074	0.774463	0.703171	0.0786545	0.0215525	0.100212	0.0710369	0.0253727	0.225537	0.774463
208000	-83.96138	-123.7914	39.83002	2.924108	0.05526592	0.05526592	0.05526592	0.05526592	2.92411	2.92411	0	1	1	0	0	0	38.24158	0.5	0.5	0	1	1	4.24906	4.24906	4.24906	4.24906	4.24906	4.24906	4.24906	4.24906	4.24906	2.12453	2.12453	2.12453	2.12453	2.12453	2.12453	2.12453	2.12453	2.12453	2.12453	2.12453	2.12453	2.12453	2.12453	2.12453	2.12453	2.12453	2.12453	13.27327	0.5	0.5	0	1	1	0.125667	0.197759	0.136201	0.0879841	0.435733	0.0166548	0.0552659	1.66802	2.62491	1.80783	0.0552659	0.0552659	1.16784	5.78361	0.0552659	0.0041637	0.125667	0.197759	0.136201	0.0041637	0.0041637	0.0879841	0.435733	0.0041637	1	0.0041637	0.125667	0.197759	0.136201	0.0041637	0.0041637	0.0879841	0.435733	0.0041637	0.0327391	0.116041	0.135828	0.273123	0.165077	0.0182069	0.0365438	0.0301026	0.192339	0.027633	0.834008	1.31246	0.903915	0.027633	0.027633	0.583918	2.8918	0.027633	0.027633	0.834008	1.31246	0.903915	0.027633	0.027633	0.583918	2.8918	0.027633	0.008752653	0.008752653	0.008752653	0.008752653	0.008752653	0.008752653	0.008752653	0.008752653	0.09694392	0.09694392	0.008752653	0.008752653	0.008752653	0.008752653	0.008752653	0.008752653	0.008752653	0.008752653	0.008752653	0.008752653	0.008752653	0.09694392	0.09694392	0.008752653	0.008752653	0.008752653	0.008752653	0.008752653	0.008752653	0.008752653	0.008752653	0.008752653	0.008752653	0.008752653	0.09694392	0.09694392	0.0418838	0.036562	0.0082131	0.110194	0.0392708	0.116214	0.11651	0.0444559	0.0617982	0.100011	0.0833203	0.0243408	0.038926	0.0345242	0.0542802	0.0495623	0.0235249	0.0164085	0.4890175	0.008752653	0.008752653	0.008752653	0.008752653	0.008752653	0.09694392	0.00875265	0.00875265	0.00875265	0.00875265	0.00875265	0.0969439	0.1407072	3	0.0389166	0.325445	0.195427	0.0622047	0.0622047	0.0622047	0.0561526	0.296312	0.0877472	0.0622047	0.0622047	0.688976	0.0561526	0.296312	0.0877472	0.0389166	0.325445	0.195427	0.311024	0.688976
209000	-83.30688	-122.1415	38.8346	0.7821024	0.4025924	0.4025924	0.4025924	0.4025924	0.782102	0.782102	0	1	1	1	0	0	23.7639	0.228915	0.771085	0.9002711	0.544861	1.83533	2.64043	2.64043	2.64043	2.64043	2.64043	2.64043	2.64043	2.64043	2.64043	0.604435	0.604435	0.604435	0.604435	0.604435	0.604435	0.604435	0.604435	0.604435	2.036	2.036	2.036	2.036	2.036	2.036	2.036	2.036	2.036	36.23204	0.5	0.5	0	1	1	0.309488	0.082524	0.217763	0.0640337	0.281745	0.044446	0.402592	11.2134	2.99001	7.89	0.402592	0.402592	2.32007	10.2082	0.402592	0.0111115	0.309488	0.082524	0.217763	0.0111115	0.0111115	0.0640337	0.281745	0.0111115	1	0.0111115	0.309488	0.082524	0.217763	0.0111115	0.0111115	0.0640337	0.281745	0.0111115	0.204149	0.0197893	0.0635001	0.0212718	0.295284	0.157143	0.168249	0.0444023	0.0262111	0.201296	5.60669	1.49501	3.945	0.201296	0.201296	1.16004	5.1041	0.201296	0.201296	5.60669	1.49501	3.945	0.201296	0.201296	1.16004	5.1041	0.201296	0.01194385	0.01194385	0.01194385	0.01194385	0.01194385	0.01194385	0.01194385	0.01194385	0.2098612	0.2098612	0.01194385	0.01194385	0.01194385	0.01194385	0.01194385	0.01194385	0.01194385	0.01194385	0.01194385	0.01194385	0.01194385	0.2098612	0.2098612	0.01194385	0.01194385	0.01194385	0.01194385	0.01194385	0.01194385	0.01194385	0.01194385	0.01194385	0.01194385	0.01194385	0.2098612	0.2098612	0.0484457	0.0298222	0.00562777	0.0233845	0.010526	0.144069	0.0962562	0.0266094	0.0520123	0.0429981	0.102468	0.036696	0.0018203	0.0166547	0.129871	0.0400814	0.0977117	0.094946	0.5930507	0.01194385	0.01194385	0.01194385	0.01194385	0.01194385	0.2098612	0.0119438	0.0119438	0.0119438	0.0119438	0.0119438	0.209861	0.2695805	3	0.0693935	0.0364245	0.390672	0.0443053	0.0443053	0.0443053	0.441962	0.0104889	0.0510593	0.0443053	0.0443053	0.778473	0.441962	0.0104889	0.0510593	0.0693935	0.0364245	0.390672	0.221527	0.778473
210000	-83.26012	-124.5941	41.33399	0.2168542	0.1188522	0.1188522	0.1188522	0.1188522	0.216854	0.216854	0	1	0	0	1	1	31.63304	0.5	0.5	0	1	1	3.51478	3.51478	3.51478	3.51478	3.51478	3.51478	3.51478	3.51478	3.51478	1.75739	1.75739	1.75739	1.75739	1.75739	1.75739	1.75739	1.75739	1.75739	1.75739	1.75739	1.75739	1.75739	1.75739	1.75739	1.75739	1.75739	1.75739	2.56306	0.335045	0.664955	0.5081274	0.709832	1.40878	0.207747	0.163113	0.0754694	0.312633	0.0555527	0.185485	0.118852	0.532468	0.418068	0.193433	0.118852	0.118852	0.801298	0.142385	0.118852	0.0463712	0.207747	0.163113	0.0754694	0.0463712	0.0463712	0.312633	0.0555527	0.0463712	1	0.0463712	0.207747	0.163113	0.0754694	0.0463712	0.0463712	0.312633	0.0555527	0.0463712	0.137407	0.133513	0.0713946	0.00745171	0.148272	0.0682311	0.134973	0.0728291	0.225928	0.0398208	0.178401	0.140072	0.0648087	0.0398208	0.0398208	0.268471	0.0477054	0.0398208	0.0790313	0.354067	0.277997	0.128624	0.0790313	0.0790313	0.532827	0.0946796	0.0790313	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.0714232	0.018112	0.00331746	0.0652912	0.0185287	0.00508897	0.0524102	0.0294715	0.103093	0.013019	0.239059	0.0245778	0.00107303	0.185716	0.0324817	0.015167	0.0148399	0.107331	0.6119269	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.06682061	0.0668206	0.0668206	0.0668206	0.0668206	0.0668206	0.0668206	0.4009236	1	0.0836162	0.122781	0.0949489	0.0711295	0.0711295	0.0711295	0.23521	0.324457	0.138986	0.0711295	0.0711295	0.644352	0.23521	0.324457	0.138986	0.0836162	0.122781	0.0949489	0.355648	0.644352
211000	-83.32371	-125.2012	41.87746	2.160114	0.006182291	0.006182291	0.006182291	0.006182291	2.16011	2.16011	0	1	1	0	0	0	34.12867	0.5	0.5	0	1	1	3.79207	3.79207	3.79207	3.79207	3.79207	3.79207	3.79207	3.79207	3.79207	1.89604	1.89604	1.89604	1.89604	1.89604	1.89604	1.89604	1.89604	1.89604	1.89604	1.89604	1.89604	1.89604	1.89604	1.89604	1.89604	1.89604	1.89604	7.37122	0.5	0.5	0	1	1	0.224567	0.133266	0.125917	0.310635	0.202261	0.00335483	0.00618229	1.65533	0.982331	0.92816	0.00618229	0.00618229	2.28976	1.49091	0.00618229	0.000838707	0.224567	0.133266	0.125917	0.000838707	0.000838707	0.310635	0.202261	0.000838707	1	0.000838707	0.224567	0.133266	0.125917	0.000838707	0.000838707	0.310635	0.202261	0.000838707	0.0752224	0.0920923	0.217547	0.173884	0.0272939	0.088414	0.163166	0.136185	0.026196	0.00309115	0.827665	0.491165	0.46408	0.00309115	0.00309115	1.14488	0.745455	0.00309115	0.00309115	0.827665	0.491165	0.46408	0.00309115	0.00309115	1.14488	0.745455	0.00309115	0.005400821	0.005400821	0.005400821	0.005400821	0.005400821	0.005400821	0.005400821	0.005400821	0.08550756	0.08550756	0.005400821	0.005400821	0.005400821	0.005400821	0.005400821	0.005400821	0.005400821	0.005400821	0.005400821	0.005400821	0.005400821	0.08550756	0.08550756	0.005400821	0.005400821	0.005400821	0.005400821	0.005400821	0.005400821	0.005400821	0.005400821	0.005400821	0.005400821	0.005400821	0.08550756	0.08550756	0.116165	0.0242598	0.00685327	0.00136306	0.0382769	0.133255	0.045114	0.00819855	0.0248104	0.0707341	0.052953	0.0161291	0.0256706	0.0443652	0.0241982	0.0263375	0.0796095	0.261707	0.5307549	0.005400821	0.005400821	0.005400821	0.005400821	0.005400821	0.08550756	0.00540082	0.00540082	0.00540082	0.00540082	0.00540082	0.0855076	0.1125117	3	0.231562	0.209581	0.440263	0.0480023	0.0480023	0.0480023	0.016379	0.0237586	0.0784563	0.0480023	0.0480023	0.759988	0.016379	0.0237586	0.0784563	0.231562	0.209581	0.440263	0.240012	0.759988
212000	-82.49247	-121.1487	38.65628	1.883053	0.4385782	0.04560159	0.1766801	0.05573397	1.88305	1.88305	0	0	1	1	1	0	31.59299	0.0614052	0.938595	2.021446	0.255778	3.90964	3.51033	3.51033	3.51033	3.51033	3.51033	3.51033	3.51033	3.51033	3.51033	0.215553	0.215553	0.215553	0.215553	0.215553	0.215553	0.215553	0.215553	0.215553	3.29478	3.29478	3.29478	3.29478	3.29478	3.29478	3.29478	3.29478	3.29478	0.9603523	0.412324	0.587676	0.2626911	0.837627	1.19385	0.302679	0.135258	0.130868	0.299074	0.0179339	0.114187	0.055734	0.0109333	0.0807222	0.066113	0.438578	0.17668	0.047639	0.0383509	0.0456016	0.0580349	0.0113846	0.0840548	0.0688424	0.456685	0.183974	0.0496058	0.0399342	0.0474842	2	0.0285467	0.302679	0.135258	0.130868	0.0285467	0.0285467	0.299074	0.0179339	0.0285467	0.0580349	0.0113846	0.0840548	0.0688424	0.456685	0.183974	0.0496058	0.0399342	0.0474842	0.0229805	0.00450805	0.0332837	0.02726	0.180836	0.0728495	0.0196427	0.015813	0.0188026	0.0327535	0.00642521	0.0474385	0.038853	0.257742	0.103831	0.0279963	0.0225379	0.0267989	0.01938831	0.01938831	0.01938831	0.01938831	0.01938831	0.01938831	0.01938831	0.01938831	0.1724162	0.1724162	0.01938831	0.01938831	0.01938831	0.01938831	0.01938831	0.01938831	0.01938831	0.01938831	0.01938831	0.01938831	0.01938831	0.1724162	0.1724162	0.01938831	0.01938831	0.01938831	0.01938831	0.01938831	0.01938831	0.01938831	0.01938831	0.01938831	0.01938831	0.01938831	0.1724162	0.1724162	0.145549	0.0502094	0.00562271	0.00111831	0.0866093	0.033272	0.0946443	0.0403079	0.000652835	0.0365463	0.0957968	0.140342	0.00254718	0.0469727	0.0590272	0.01077	0.067232	0.0827802	0.3792934	0.01938831	0.01938831	0.01938831	0.01938831	0.01938831	0.1724162	0.0193883	0.0193883	0.0193883	0.0193883	0.0193883	0.172416	0.2693578	3	0.217765	0.0796979	0.343291	0.0719798	0.0719798	0.0719798	0.0378889	0.17068	0.150677	0.0719798	0.0719798	0.640101	0.0378889	0.17068	0.150677	0.217765	0.0796979	0.343291	0.359899	0.640101
213000	-88.83719	-123.778	34.94082	0.6996135	0.5984566	0.1235103	0.04609781	0.5834194	0.699614	0.699614	0	0	0	1	1	1	27.4174	0.160073	0.839927	1.228842	0.436555	2.29066	3.04638	3.04638	3.04638	3.04638	3.04638	3.04638	3.04638	3.04638	3.04638	0.487644	0.487644	0.487644	0.487644	0.487644	0.487644	0.487644	0.487644	0.487644	2.55873	2.55873	2.55873	2.55873	2.55873	2.55873	2.55873	2.55873	2.55873	3.917763	0.137893	0.862107	1.358732	0.399936	2.5004	0.200748	0.11348	0.323001	0.141126	0.0391074	0.182537	0.583419	0.10035	0.0779618	2.06504	0.598457	0.0460978	0.311079	0.0118521	0.12351	0.148916	0.0256141	0.0198996	0.527096	0.152755	0.0117664	0.0794021	0.00302523	0.0315257	2	0.0456342	0.200748	0.11348	0.323001	0.0456342	0.0456342	0.141126	0.0391074	0.0456342	0.148916	0.0256141	0.0198996	0.527096	0.152755	0.0117664	0.0794021	0.00302523	0.0315257	0.0804494	0.0138375	0.0107504	0.284754	0.082523	0.00635656	0.0428956	0.00163432	0.0170312	0.50297	0.0865124	0.0672114	1.78028	0.515934	0.0397412	0.268183	0.0102178	0.106479	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.159934	0.0163014	0.0645772	0.0191452	0.0312156	0.00545839	0.0281788	0.0655836	0.00603556	0.138479	0.140488	0.0356658	0.0429027	0.0134906	0.0991094	0.0287521	0.0254363	0.0792464	0.3498233	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.119962	0.719772	1	0.22652	0.0495782	0.107402	0.177865	0.177865	0.177865	0.390648	0.00606975	0.219782	0.177865	0.177865	0.110675	0.390648	0.00606975	0.219782	0.22652	0.0495782	0.107402	0.889325	0.110675
214000	-82.97277	-121.6962	38.72347	1.706046	0.4976999	0.4976999	0.4976999	0.4976999	1.70605	1.70605	1	1	0	1	0	0	27.77578	0.0485022	0.951498	2.20643	0.225776	4.42918	3.0862	3.0862	3.0862	3.0862	3.0862	3.0862	3.0862	3.0862	3.0862	0.149687	0.149687	0.149687	0.149687	0.149687	0.149687	0.149687	0.149687	0.149687	2.93651	2.93651	2.93651	2.93651	2.93651	2.93651	2.93651	2.93651	2.93651	7.817461	0.5	0.5	0	1	1	0.0390864	0.0355601	0.0933242	0.0900024	0.487366	0.254661	0.4977	0.305556	0.277989	0.729558	0.4977	0.4977	0.70359	3.80997	0.4977	0.0636652	0.0390864	0.0355601	0.0933242	0.0636652	0.0636652	0.0900024	0.487366	0.0636652	1	0.0636652	0.0390864	0.0355601	0.0933242	0.0636652	0.0636652	0.0900024	0.487366	0.0636652	0.0277664	0.187058	0.257647	0.0325904	0.0946637	0.00641947	0.118104	0.136086	0.139665	0.24885	0.152778	0.138995	0.364779	0.24885	0.24885	0.351795	1.90498	0.24885	0.24885	0.152778	0.138995	0.364779	0.24885	0.24885	0.351795	1.90498	0.24885	0.0136405	0.0136405	0.008556196	0.008556196	0.008135572	0.008135572	0.008556196	0.008556196	0.06519903	0.06519903	0.008556196	0.008556196	0.04323312	0.0136405	0.0136405	0.04323312	0.04323312	0.008135572	0.008135572	0.04323312	0.04323312	0.06519903	0.06519903	0.04323312	0.07120031	0.07120031	0.0136405	0.0136405	0.07120031	0.07120031	0.008135572	0.008135572	0.07120031	0.07120031	0.06519903	0.06519903	0.0377825	0.0547478	0.0166712	0.051247	0.0158273	0.00287705	0.0646734	0.023145	0.00357322	0.171025	0.161473	0.0336742	0.0167143	0.00202444	0.0865418	0.0900468	0.143857	0.0240987	0.4770453	0.04323312	0.008135572	0.008556196	0.0136405	0.07120031	0.06519903	0.0085562	0.0432331	0.0712003	0.0136405	0.00813557	0.065199	0.2099647	2	0.0407506	0.205907	0.339106	0.0607842	0.0607842	0.0607842	0.0649657	0.0387473	0.310524	0.0607842	0.0607842	0.696079	0.0649657	0.0387473	0.310524	0.0407506	0.205907	0.339106	0.303921	0.696079
215000	-81.82358	-124.6103	42.78674	0.05909675	0.06525615	0.06525615	0.06525615	0.06525615	0.0590968	0.0590968	1	1	0	1	0	0	35.71265	0.464721	0.535279	0.1047829	0.931765	1.07323	3.96807	3.96807	3.96807	3.96807	3.96807	3.96807	3.96807	3.96807	3.96807	1.84405	1.84405	1.84405	1.84405	1.84405	1.84405	1.84405	1.84405	1.84405	2.12402	2.12402	2.12402	2.12402	2.12402	2.12402	2.12402	2.12402	2.12402	3.051182	0.5	0.5	0	1	1	0.112866	0.235865	0.409717	0.102892	0.0531115	0.0855487	0.0652561	0.344376	0.719667	1.25012	0.0652561	0.0652561	0.313942	0.162053	0.0652561	0.0213872	0.112866	0.235865	0.409717	0.0213872	0.0213872	0.102892	0.0531115	0.0213872	1	0.0213872	0.112866	0.235865	0.409717	0.0213872	0.0213872	0.102892	0.0531115	0.0213872	0.119096	0.171884	0.116378	0.0292021	0.00847076	0.0465094	0.110917	0.162795	0.234748	0.0326281	0.172188	0.359833	0.62506	0.0326281	0.0326281	0.156971	0.0810264	0.0326281	0.0326281	0.172188	0.359833	0.62506	0.0326281	0.0326281	0.156971	0.0810264	0.0326281	0.0008449379	0.0008449379	0.108405	0.108405	0.005815413	0.005815413	0.108405	0.108405	0.06253687	0.06253687	0.108405	0.108405	0.00832691	0.0008449379	0.0008449379	0.00832691	0.00832691	0.005815413	0.005815413	0.00832691	0.00832691	0.06253687	0.06253687	0.00832691	0.1084831	0.1084831	0.0008449379	0.0008449379	0.1084831	0.1084831	0.005815413	0.005815413	0.1084831	0.1084831	0.06253687	0.06253687	0.0263123	0.0107001	0.00751926	0.00977391	0.120488	0.129398	0.124243	0.0442655	0.00513184	0.0743	0.0292326	0.0400281	0.205605	0.0367885	0.0175061	0.0395057	0.0698401	0.00936254	0.4776873	0.00832691	0.005815413	0.108405	0.0008449379	0.1084831	0.06253687	0.108405	0.00832691	0.108483	0.000844938	0.00581541	0.0625369	0.2944123	2	0.368208	0.0282832	0.368474	0.101458	0.101458	0.101458	0.00286991	0.0197526	0.212413	0.101458	0.101458	0.492709	0.00286991	0.0197526	0.212413	0.368208	0.0282832	0.368474	0.507291	0.492709
