Iteration	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	simmap
0	{0,0.533557}	{0,0.412817}	{0,0.334572}	{0,0.334572}	{0,0.266388}	{0,0.266388}	{8,0.480352}	{8,0.480352}	{8,0.754948}	{8,0.347976}	{8,0.270677}	{8,0.270677}	{8,0.154027}	{8,0.154027}	{8,0.390347}	{8,0.148177}	{8,0.148177}	{4,0.184211:5,2.01676}	{3,0.153575:5,1.75471}	{5,1.67967}	{4,0.058759}	{4,0.058759}	{4,0.168054}	{4,0.37094}	{4,0.37094}	{5,0.229738}	{5,0.229738}	{5,0.457773}	{5,0.457773}	{5,0.058414}	{5,0.058414}	{5,0.400486}	{5,0.353162}	{5,0.353162}	{5,0.460523}	{5,0.460523}	{4,0.425289:5,0.167792}	{5,0.084382}	{5,0.047324}	{5,0.041557}	{5,0.383629}	{5,0.088111}	{5,0.052296}	{5,0.280331}	{5,0.020085}	{5,0.014751}	{5,0.048176}	{5,1.05403}	{4,0.458933}	{4,0.109295}	{4,0.661819}	{4,0.550969:5,0.266274}	{5,0.032552}	{5,0.228615}	{5,0.292688}	{5,0.0812381:8,0.117548}	{8,0.24217}	{8,0.077241}	{8,0.313561}	{8,0.075282}	{8,0.077299}	{8,0.194894}	{8,0.224082}	{8,0.274596}	{8,0.012004}	{8,0.267861}	{0,0.249015}	{0,0.078245}	{0,0.102586}	{0,0.018154}	{0,0.168682:6,0.0780695:8,0.254505}	{8,1.36494}	{8,0}	((((((Peic_ARARA:{4,0.425289:5,0.167792},((Pnig_BELOH:{5,0.460523},Pnig_CRIST:{5,0.460523}):{5,0.084382},((((Pnig_GOEST:{5,0.353162},Pnig_GONOR:{5,0.353162}):{5,0.047324},Pnig_TRIAN:{5,0.400486}):{5,0.041557},(Pnig_POARS:{5,0.058414},Pnig_TURVO:{5,0.058414}):{5,0.383629}):{5,0.088111},((Pnig_ITATI:{5,0.457773},Pnig_SOROC:{5,0.457773}):{5,0.052296},(Pnig_LAVRA:{5,0.229738},Pnig_SJCAM:{5,0.229738}):{5,0.280331}):{5,0.020085}):{5,0.014751}):{5,0.048176}):{5,1.05403},((Peic_CHADI:{4,0.37094},Peic_PNPER:{4,0.37094}):{4,0.458933},(Peic_DISFE:{4,0.168054},(Peic_GOCEN:{4,0.058759},Peic_TRIAN:{4,0.058759}):{4,0.109295}):{4,0.661819}):{4,0.550969:5,0.266274}):{5,0.032552},Pnig_IBITI:{5,1.67967}):{5,0.228615},Peic_HYPER:{3,0.153575:5,1.75471}):{5,0.292688},Peic_BAHIA:{4,0.184211:5,2.01676}):{5,0.0812381:8,0.117548},((((((Pkey_ESCEN:{8,0.148177},Pkey_RIORJ:{8,0.148177}):{8,0.24217},Pkey_PARSO:{8,0.390347}):{8,0.077241},(Pkey_ESSOU:{8,0.154027},Pkey_LAGOS:{8,0.154027}):{8,0.313561}):{8,0.075282},((Pkey_JUREI:{8,0.270677},Pkey_UBATU:{8,0.270677}):{8,0.077299},Pkey_MOELA:{8,0.347976}):{8,0.194894}):{8,0.224082},(Pkey_ITATI:{8,0.754948},(Pkey_SCNOR:{8,0.480352},Pkey_SCSOU:{8,0.480352}):{8,0.274596}):{8,0.012004}):{8,0.267861},(((Pper_BELOH:{0,0.266388},Pper_SIMON:{0,0.266388}):{0,0.249015},((Pper_JUIZF:{0,0.334572},Pper_SANTE:{0,0.334572}):{0,0.078245},Pper_PARSO:{0,0.412817}):{0,0.102586}):{0,0.018154},Pper_LINHA:{0,0.533557}):{0,0.168682:6,0.0780695:8,0.254505}):{8,1.36494});
1000	{0,0.533557}	{0,0.412817}	{0,0.334572}	{0,0.334572}	{0,0.266388}	{0,0.266388}	{8,0.480352}	{8,0.480352}	{8,0.754948}	{8,0.347976}	{8,0.270677}	{8,0.270677}	{8,0.154027}	{8,0.154027}	{8,0.390347}	{8,0.148177}	{8,0.148177}	{4,2.20097}	{3,0.478411:4,1.42987}	{5,1.57484:4,0.104831}	{4,0.058759}	{4,0.058759}	{4,0.168054}	{4,0.37094}	{4,0.37094}	{5,0.229738}	{5,0.229738}	{5,0.457773}	{5,0.457773}	{5,0.058414}	{5,0.058414}	{5,0.400486}	{5,0.353162}	{5,0.353162}	{5,0.460523}	{5,0.460523}	{4,0.414481:5,0.1786}	{5,0.084382}	{5,0.047324}	{5,0.041557}	{5,0.383629}	{5,0.088111}	{5,0.052296}	{5,0.280331}	{5,0.020085}	{5,0.014751}	{5,0.048176}	{5,1.00127:4,0.0527689}	{4,0.458933}	{4,0.109295}	{4,0.661819}	{4,0.817243}	{4,0.032552}	{4,0.228615}	{4,0.292688}	{4,0.198786:1,0}	{8,0.24217}	{8,0.077241}	{8,0.313561}	{8,0.075282}	{8,0.077299}	{8,0.194894}	{8,0.224082}	{8,0.274596}	{8,0.012004}	{8,0.191397:2,0.0764641}	{0,0.249015}	{0,0.078245}	{0,0.102586}	{0,0.018154}	{0,0.47567:2,0.0255855}	{2,0.874743:1,0.490201}	{1,0}	((((((Peic_ARARA:{4,0.414481:5,0.1786},((Pnig_BELOH:{5,0.460523},Pnig_CRIST:{5,0.460523}):{5,0.084382},((((Pnig_GOEST:{5,0.353162},Pnig_GONOR:{5,0.353162}):{5,0.047324},Pnig_TRIAN:{5,0.400486}):{5,0.041557},(Pnig_POARS:{5,0.058414},Pnig_TURVO:{5,0.058414}):{5,0.383629}):{5,0.088111},((Pnig_ITATI:{5,0.457773},Pnig_SOROC:{5,0.457773}):{5,0.052296},(Pnig_LAVRA:{5,0.229738},Pnig_SJCAM:{5,0.229738}):{5,0.280331}):{5,0.020085}):{5,0.014751}):{5,0.048176}):{5,1.00127:4,0.0527689},((Peic_CHADI:{4,0.37094},Peic_PNPER:{4,0.37094}):{4,0.458933},(Peic_DISFE:{4,0.168054},(Peic_GOCEN:{4,0.058759},Peic_TRIAN:{4,0.058759}):{4,0.109295}):{4,0.661819}):{4,0.817243}):{4,0.032552},Pnig_IBITI:{5,1.57484:4,0.104831}):{4,0.228615},Peic_HYPER:{3,0.478411:4,1.42987}):{4,0.292688},Peic_BAHIA:{4,2.20097}):{4,0.198786:1,0},((((((Pkey_ESCEN:{8,0.148177},Pkey_RIORJ:{8,0.148177}):{8,0.24217},Pkey_PARSO:{8,0.390347}):{8,0.077241},(Pkey_ESSOU:{8,0.154027},Pkey_LAGOS:{8,0.154027}):{8,0.313561}):{8,0.075282},((Pkey_JUREI:{8,0.270677},Pkey_UBATU:{8,0.270677}):{8,0.077299},Pkey_MOELA:{8,0.347976}):{8,0.194894}):{8,0.224082},(Pkey_ITATI:{8,0.754948},(Pkey_SCNOR:{8,0.480352},Pkey_SCSOU:{8,0.480352}):{8,0.274596}):{8,0.012004}):{8,0.191397:2,0.0764641},(((Pper_BELOH:{0,0.266388},Pper_SIMON:{0,0.266388}):{0,0.249015},((Pper_JUIZF:{0,0.334572},Pper_SANTE:{0,0.334572}):{0,0.078245},Pper_PARSO:{0,0.412817}):{0,0.102586}):{0,0.018154},Pper_LINHA:{0,0.533557}):{0,0.47567:2,0.0255855}):{2,0.874743:1,0.490201});
2000	{0,0.533557}	{0,0.412817}	{0,0.334572}	{0,0.334572}	{0,0.266388}	{0,0.266388}	{8,0.480352}	{8,0.480352}	{8,0.754948}	{8,0.347976}	{8,0.270677}	{8,0.270677}	{8,0.154027}	{8,0.154027}	{8,0.390347}	{8,0.148177}	{8,0.148177}	{4,0.609683:5,0.184934:3,1.39018:5,0.016169}	{3,1.60163:5,0.306656}	{5,1.67967}	{4,0.058759}	{4,0.058759}	{4,0.168054}	{4,0.37094}	{4,0.37094}	{5,0.229738}	{5,0.229738}	{5,0.457773}	{5,0.457773}	{5,0.058414}	{5,0.058414}	{5,0.400486}	{5,0.353162}	{5,0.353162}	{5,0.460523}	{5,0.460523}	{4,0.206991:5,0.38609}	{5,0.084382}	{5,0.047324}	{5,0.041557}	{5,0.383629}	{5,0.088111}	{5,0.052296}	{5,0.280331}	{5,0.020085}	{5,0.014751}	{5,0.048176}	{5,1.05403}	{4,0.458933}	{4,0.109295}	{4,0.661819}	{4,0.676651:5,0.140592}	{5,0.032552}	{5,0.228615}	{5,0.292688}	{5,0.198786}	{8,0.24217}	{8,0.077241}	{8,0.313561}	{8,0.075282}	{8,0.077299}	{8,0.194894}	{8,0.224082}	{8,0.274596}	{8,0.012004}	{8,0.12903:2,0.138831}	{0,0.249015}	{0,0.078245}	{0,0.102586}	{0,0.018154}	{0,0.161571:2,0.339685}	{2,0.107388:5,1.25756}	{5,0}	((((((Peic_ARARA:{4,0.206991:5,0.38609},((Pnig_BELOH:{5,0.460523},Pnig_CRIST:{5,0.460523}):{5,0.084382},((((Pnig_GOEST:{5,0.353162},Pnig_GONOR:{5,0.353162}):{5,0.047324},Pnig_TRIAN:{5,0.400486}):{5,0.041557},(Pnig_POARS:{5,0.058414},Pnig_TURVO:{5,0.058414}):{5,0.383629}):{5,0.088111},((Pnig_ITATI:{5,0.457773},Pnig_SOROC:{5,0.457773}):{5,0.052296},(Pnig_LAVRA:{5,0.229738},Pnig_SJCAM:{5,0.229738}):{5,0.280331}):{5,0.020085}):{5,0.014751}):{5,0.048176}):{5,1.05403},((Peic_CHADI:{4,0.37094},Peic_PNPER:{4,0.37094}):{4,0.458933},(Peic_DISFE:{4,0.168054},(Peic_GOCEN:{4,0.058759},Peic_TRIAN:{4,0.058759}):{4,0.109295}):{4,0.661819}):{4,0.676651:5,0.140592}):{5,0.032552},Pnig_IBITI:{5,1.67967}):{5,0.228615},Peic_HYPER:{3,1.60163:5,0.306656}):{5,0.292688},Peic_BAHIA:{4,0.609683:5,0.184934:3,1.39018:5,0.016169}):{5,0.198786},((((((Pkey_ESCEN:{8,0.148177},Pkey_RIORJ:{8,0.148177}):{8,0.24217},Pkey_PARSO:{8,0.390347}):{8,0.077241},(Pkey_ESSOU:{8,0.154027},Pkey_LAGOS:{8,0.154027}):{8,0.313561}):{8,0.075282},((Pkey_JUREI:{8,0.270677},Pkey_UBATU:{8,0.270677}):{8,0.077299},Pkey_MOELA:{8,0.347976}):{8,0.194894}):{8,0.224082},(Pkey_ITATI:{8,0.754948},(Pkey_SCNOR:{8,0.480352},Pkey_SCSOU:{8,0.480352}):{8,0.274596}):{8,0.012004}):{8,0.12903:2,0.138831},(((Pper_BELOH:{0,0.266388},Pper_SIMON:{0,0.266388}):{0,0.249015},((Pper_JUIZF:{0,0.334572},Pper_SANTE:{0,0.334572}):{0,0.078245},Pper_PARSO:{0,0.412817}):{0,0.102586}):{0,0.018154},Pper_LINHA:{0,0.533557}):{0,0.161571:2,0.339685}):{2,0.107388:5,1.25756});
3000	{0,0.533557}	{0,0.412817}	{0,0.334572}	{0,0.334572}	{0,0.266388}	{0,0.266388}	{8,0.480352}	{8,0.480352}	{8,0.754948}	{8,0.347976}	{8,0.270677}	{8,0.270677}	{8,0.154027}	{8,0.154027}	{8,0.390347}	{8,0.148177}	{8,0.148177}	{4,0.69577:1,1.4675:2,0.0376977}	{3,0.315465:5,1.59282}	{5,1.67967}	{4,0.058759}	{4,0.058759}	{4,0.168054}	{4,0.37094}	{4,0.37094}	{5,0.229738}	{5,0.229738}	{5,0.457773}	{5,0.457773}	{5,0.058414}	{5,0.058414}	{5,0.400486}	{5,0.353162}	{5,0.353162}	{5,0.460523}	{5,0.460523}	{4,0.558155:5,0.034926}	{5,0.084382}	{5,0.047324}	{5,0.041557}	{5,0.383629}	{5,0.088111}	{5,0.052296}	{5,0.280331}	{5,0.020085}	{5,0.014751}	{5,0.048176}	{5,1.05403}	{4,0.458933}	{4,0.109295}	{4,0.661819}	{4,0.743325:5,0.073918}	{5,0.032552}	{5,0.228615}	{5,0.241701:2,0.0509873}	{2,0.198786}	{8,0.24217}	{8,0.077241}	{8,0.313561}	{8,0.075282}	{8,0.077299}	{8,0.194894}	{8,0.224082}	{8,0.274596}	{8,0.012004}	{8,0.102206:2,0.165655}	{0,0.249015}	{0,0.078245}	{0,0.102586}	{0,0.018154}	{0,0.501256:2,2.22045e-16}	{2,1.36494}	{2,0}	((((((Peic_ARARA:{4,0.558155:5,0.034926},((Pnig_BELOH:{5,0.460523},Pnig_CRIST:{5,0.460523}):{5,0.084382},((((Pnig_GOEST:{5,0.353162},Pnig_GONOR:{5,0.353162}):{5,0.047324},Pnig_TRIAN:{5,0.400486}):{5,0.041557},(Pnig_POARS:{5,0.058414},Pnig_TURVO:{5,0.058414}):{5,0.383629}):{5,0.088111},((Pnig_ITATI:{5,0.457773},Pnig_SOROC:{5,0.457773}):{5,0.052296},(Pnig_LAVRA:{5,0.229738},Pnig_SJCAM:{5,0.229738}):{5,0.280331}):{5,0.020085}):{5,0.014751}):{5,0.048176}):{5,1.05403},((Peic_CHADI:{4,0.37094},Peic_PNPER:{4,0.37094}):{4,0.458933},(Peic_DISFE:{4,0.168054},(Peic_GOCEN:{4,0.058759},Peic_TRIAN:{4,0.058759}):{4,0.109295}):{4,0.661819}):{4,0.743325:5,0.073918}):{5,0.032552},Pnig_IBITI:{5,1.67967}):{5,0.228615},Peic_HYPER:{3,0.315465:5,1.59282}):{5,0.241701:2,0.0509873},Peic_BAHIA:{4,0.69577:1,1.4675:2,0.0376977}):{2,0.198786},((((((Pkey_ESCEN:{8,0.148177},Pkey_RIORJ:{8,0.148177}):{8,0.24217},Pkey_PARSO:{8,0.390347}):{8,0.077241},(Pkey_ESSOU:{8,0.154027},Pkey_LAGOS:{8,0.154027}):{8,0.313561}):{8,0.075282},((Pkey_JUREI:{8,0.270677},Pkey_UBATU:{8,0.270677}):{8,0.077299},Pkey_MOELA:{8,0.347976}):{8,0.194894}):{8,0.224082},(Pkey_ITATI:{8,0.754948},(Pkey_SCNOR:{8,0.480352},Pkey_SCSOU:{8,0.480352}):{8,0.274596}):{8,0.012004}):{8,0.102206:2,0.165655},(((Pper_BELOH:{0,0.266388},Pper_SIMON:{0,0.266388}):{0,0.249015},((Pper_JUIZF:{0,0.334572},Pper_SANTE:{0,0.334572}):{0,0.078245},Pper_PARSO:{0,0.412817}):{0,0.102586}):{0,0.018154},Pper_LINHA:{0,0.533557}):{0,0.501256:2,2.22045e-16}):{2,1.36494});
4000	{0,0.533557}	{0,0.412817}	{0,0.334572}	{0,0.334572}	{0,0.266388}	{0,0.266388}	{8,0.480352}	{8,0.480352}	{8,0.754948}	{8,0.347976}	{8,0.270677}	{8,0.270677}	{8,0.154027}	{8,0.154027}	{8,0.390347}	{8,0.148177}	{8,0.148177}	{4,1.33987:5,0.861103}	{3,1.36938:5,0.538904}	{5,1.67967}	{4,0.058759}	{4,0.058759}	{4,0.168054}	{4,0.37094}	{4,0.37094}	{5,0.229738}	{5,0.229738}	{5,0.457773}	{5,0.457773}	{5,0.058414}	{5,0.058414}	{5,0.400486}	{5,0.353162}	{5,0.353162}	{5,0.460523}	{5,0.460523}	{4,0.125884:5,0.467197}	{5,0.084382}	{5,0.047324}	{5,0.041557}	{5,0.383629}	{5,0.088111}	{5,0.052296}	{5,0.280331}	{5,0.020085}	{5,0.014751}	{5,0.048176}	{5,1.05403}	{4,0.458933}	{4,0.109295}	{4,0.661819}	{4,0.359878:5,0.457365}	{5,0.032552}	{5,0.228615}	{5,0.292688}	{5,0.198786}	{8,0.24217}	{8,0.077241}	{8,0.313561}	{8,0.075282}	{8,0.077299}	{8,0.194894}	{8,0.224082}	{8,0.274596}	{8,0.012004}	{8,0.250046:2,0.0178154}	{0,0.249015}	{0,0.078245}	{0,0.102586}	{0,0.018154}	{0,0.0540241:2,0.447232}	{2,0.376268:5,0.988676}	{5,0}	((((((Peic_ARARA:{4,0.125884:5,0.467197},((Pnig_BELOH:{5,0.460523},Pnig_CRIST:{5,0.460523}):{5,0.084382},((((Pnig_GOEST:{5,0.353162},Pnig_GONOR:{5,0.353162}):{5,0.047324},Pnig_TRIAN:{5,0.400486}):{5,0.041557},(Pnig_POARS:{5,0.058414},Pnig_TURVO:{5,0.058414}):{5,0.383629}):{5,0.088111},((Pnig_ITATI:{5,0.457773},Pnig_SOROC:{5,0.457773}):{5,0.052296},(Pnig_LAVRA:{5,0.229738},Pnig_SJCAM:{5,0.229738}):{5,0.280331}):{5,0.020085}):{5,0.014751}):{5,0.048176}):{5,1.05403},((Peic_CHADI:{4,0.37094},Peic_PNPER:{4,0.37094}):{4,0.458933},(Peic_DISFE:{4,0.168054},(Peic_GOCEN:{4,0.058759},Peic_TRIAN:{4,0.058759}):{4,0.109295}):{4,0.661819}):{4,0.359878:5,0.457365}):{5,0.032552},Pnig_IBITI:{5,1.67967}):{5,0.228615},Peic_HYPER:{3,1.36938:5,0.538904}):{5,0.292688},Peic_BAHIA:{4,1.33987:5,0.861103}):{5,0.198786},((((((Pkey_ESCEN:{8,0.148177},Pkey_RIORJ:{8,0.148177}):{8,0.24217},Pkey_PARSO:{8,0.390347}):{8,0.077241},(Pkey_ESSOU:{8,0.154027},Pkey_LAGOS:{8,0.154027}):{8,0.313561}):{8,0.075282},((Pkey_JUREI:{8,0.270677},Pkey_UBATU:{8,0.270677}):{8,0.077299},Pkey_MOELA:{8,0.347976}):{8,0.194894}):{8,0.224082},(Pkey_ITATI:{8,0.754948},(Pkey_SCNOR:{8,0.480352},Pkey_SCSOU:{8,0.480352}):{8,0.274596}):{8,0.012004}):{8,0.250046:2,0.0178154},(((Pper_BELOH:{0,0.266388},Pper_SIMON:{0,0.266388}):{0,0.249015},((Pper_JUIZF:{0,0.334572},Pper_SANTE:{0,0.334572}):{0,0.078245},Pper_PARSO:{0,0.412817}):{0,0.102586}):{0,0.018154},Pper_LINHA:{0,0.533557}):{0,0.0540241:2,0.447232}):{2,0.376268:5,0.988676});
5000	{0,0.45637:2,0.0771875}	{0,0.412817}	{0,0.334572}	{0,0.334572}	{0,0.266388}	{0,0.266388}	{8,0.480352}	{8,0.480352}	{8,0.754948}	{8,0.347976}	{8,0.270677}	{8,0.270677}	{8,0.154027}	{8,0.154027}	{8,0.390347}	{8,0.148177}	{8,0.148177}	{4,1.01988:5,1.1811}	{3,1.65346:5,0.254827}	{5,1.67967}	{4,0.058759}	{4,0.058759}	{4,0.168054}	{4,0.37094}	{4,0.37094}	{5,0.229738}	{5,0.229738}	{5,0.457773}	{5,0.457773}	{5,0.058414}	{5,0.058414}	{5,0.400486}	{5,0.353162}	{5,0.353162}	{5,0.460523}	{5,0.460523}	{4,0.284439:5,0.308642}	{5,0.084382}	{5,0.047324}	{5,0.041557}	{5,0.383629}	{5,0.088111}	{5,0.052296}	{5,0.280331}	{5,0.020085}	{5,0.014751}	{5,0.048176}	{5,1.05403}	{4,0.458933}	{4,0.109295}	{4,0.661819}	{4,0.316292:5,0.500951}	{5,0.032552}	{5,0.228615}	{5,0.292688}	{5,0.198786}	{8,0.24217}	{8,0.077241}	{8,0.313561}	{8,0.075282}	{8,0.077299}	{8,0.194894}	{8,0.224082}	{8,0.274596}	{8,0.012004}	{8,0.045362:2,0.222499}	{0,0.249015}	{0,0.078245}	{0,0.102586}	{0,0.018154:2,1.11022e-16}	{2,0.501256}	{2,0.296026:0,0.414912:3,0.295082:5,0.358925}	{5,0}	((((((Peic_ARARA:{4,0.284439:5,0.308642},((Pnig_BELOH:{5,0.460523},Pnig_CRIST:{5,0.460523}):{5,0.084382},((((Pnig_GOEST:{5,0.353162},Pnig_GONOR:{5,0.353162}):{5,0.047324},Pnig_TRIAN:{5,0.400486}):{5,0.041557},(Pnig_POARS:{5,0.058414},Pnig_TURVO:{5,0.058414}):{5,0.383629}):{5,0.088111},((Pnig_ITATI:{5,0.457773},Pnig_SOROC:{5,0.457773}):{5,0.052296},(Pnig_LAVRA:{5,0.229738},Pnig_SJCAM:{5,0.229738}):{5,0.280331}):{5,0.020085}):{5,0.014751}):{5,0.048176}):{5,1.05403},((Peic_CHADI:{4,0.37094},Peic_PNPER:{4,0.37094}):{4,0.458933},(Peic_DISFE:{4,0.168054},(Peic_GOCEN:{4,0.058759},Peic_TRIAN:{4,0.058759}):{4,0.109295}):{4,0.661819}):{4,0.316292:5,0.500951}):{5,0.032552},Pnig_IBITI:{5,1.67967}):{5,0.228615},Peic_HYPER:{3,1.65346:5,0.254827}):{5,0.292688},Peic_BAHIA:{4,1.01988:5,1.1811}):{5,0.198786},((((((Pkey_ESCEN:{8,0.148177},Pkey_RIORJ:{8,0.148177}):{8,0.24217},Pkey_PARSO:{8,0.390347}):{8,0.077241},(Pkey_ESSOU:{8,0.154027},Pkey_LAGOS:{8,0.154027}):{8,0.313561}):{8,0.075282},((Pkey_JUREI:{8,0.270677},Pkey_UBATU:{8,0.270677}):{8,0.077299},Pkey_MOELA:{8,0.347976}):{8,0.194894}):{8,0.224082},(Pkey_ITATI:{8,0.754948},(Pkey_SCNOR:{8,0.480352},Pkey_SCSOU:{8,0.480352}):{8,0.274596}):{8,0.012004}):{8,0.045362:2,0.222499},(((Pper_BELOH:{0,0.266388},Pper_SIMON:{0,0.266388}):{0,0.249015},((Pper_JUIZF:{0,0.334572},Pper_SANTE:{0,0.334572}):{0,0.078245},Pper_PARSO:{0,0.412817}):{0,0.102586}):{0,0.018154:2,1.11022e-16},Pper_LINHA:{0,0.45637:2,0.0771875}):{2,0.501256}):{2,0.296026:0,0.414912:3,0.295082:5,0.358925});
6000	{0,0.533557}	{0,0.412817}	{0,0.334572}	{0,0.334572}	{0,0.266388}	{0,0.266388}	{8,0.480352}	{8,0.480352}	{8,0.754948}	{8,0.347976}	{8,0.270677}	{8,0.270677}	{8,0.154027}	{8,0.154027}	{8,0.390347}	{8,0.148177}	{8,0.148177}	{4,0.460926:5,1.74004}	{0,0.127541:2,1.65847:5,0.122271}	{5,1.67967}	{4,0.058759}	{4,0.058759}	{4,0.168054}	{4,0.37094}	{4,0.37094}	{5,0.229738}	{5,0.229738}	{5,0.457773}	{5,0.457773}	{5,0.058414}	{5,0.058414}	{5,0.400486}	{5,0.353162}	{5,0.353162}	{5,0.460523}	{5,0.460523}	{4,0.527522:5,0.0655594}	{5,0.084382}	{5,0.047324}	{5,0.041557}	{5,0.383629}	{5,0.088111}	{5,0.052296}	{5,0.280331}	{5,0.020085}	{5,0.014751}	{5,0.048176}	{5,1.05403}	{4,0.458933}	{4,0.109295}	{4,0.661819}	{4,0.647937:5,0.169306}	{5,0.032552}	{5,0.228615}	{5,0.292688}	{5,0.198786}	{8,0.24217}	{8,0.077241}	{8,0.313561}	{8,0.075282}	{8,0.077299}	{8,0.194894}	{8,0.224082}	{8,0.274596}	{8,0.012004}	{8,0.267861}	{0,0.249015}	{0,0.078245}	{0,0.102586}	{0,0.018154}	{0,0.0204368:3,0.267423:6,0.0368048:8,0.176592}	{8,0.426814:5,0.93813}	{5,0}	((((((Peic_ARARA:{4,0.527522:5,0.0655594},((Pnig_BELOH:{5,0.460523},Pnig_CRIST:{5,0.460523}):{5,0.084382},((((Pnig_GOEST:{5,0.353162},Pnig_GONOR:{5,0.353162}):{5,0.047324},Pnig_TRIAN:{5,0.400486}):{5,0.041557},(Pnig_POARS:{5,0.058414},Pnig_TURVO:{5,0.058414}):{5,0.383629}):{5,0.088111},((Pnig_ITATI:{5,0.457773},Pnig_SOROC:{5,0.457773}):{5,0.052296},(Pnig_LAVRA:{5,0.229738},Pnig_SJCAM:{5,0.229738}):{5,0.280331}):{5,0.020085}):{5,0.014751}):{5,0.048176}):{5,1.05403},((Peic_CHADI:{4,0.37094},Peic_PNPER:{4,0.37094}):{4,0.458933},(Peic_DISFE:{4,0.168054},(Peic_GOCEN:{4,0.058759},Peic_TRIAN:{4,0.058759}):{4,0.109295}):{4,0.661819}):{4,0.647937:5,0.169306}):{5,0.032552},Pnig_IBITI:{5,1.67967}):{5,0.228615},Peic_HYPER:{0,0.127541:2,1.65847:5,0.122271}):{5,0.292688},Peic_BAHIA:{4,0.460926:5,1.74004}):{5,0.198786},((((((Pkey_ESCEN:{8,0.148177},Pkey_RIORJ:{8,0.148177}):{8,0.24217},Pkey_PARSO:{8,0.390347}):{8,0.077241},(Pkey_ESSOU:{8,0.154027},Pkey_LAGOS:{8,0.154027}):{8,0.313561}):{8,0.075282},((Pkey_JUREI:{8,0.270677},Pkey_UBATU:{8,0.270677}):{8,0.077299},Pkey_MOELA:{8,0.347976}):{8,0.194894}):{8,0.224082},(Pkey_ITATI:{8,0.754948},(Pkey_SCNOR:{8,0.480352},Pkey_SCSOU:{8,0.480352}):{8,0.274596}):{8,0.012004}):{8,0.267861},(((Pper_BELOH:{0,0.266388},Pper_SIMON:{0,0.266388}):{0,0.249015},((Pper_JUIZF:{0,0.334572},Pper_SANTE:{0,0.334572}):{0,0.078245},Pper_PARSO:{0,0.412817}):{0,0.102586}):{0,0.018154},Pper_LINHA:{0,0.533557}):{0,0.0204368:3,0.267423:6,0.0368048:8,0.176592}):{8,0.426814:5,0.93813});
